Cancer Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Bladder Cancer,0.984375,0.9270833333333334,0.8697916666666666,0.7708333333333334,0.703125,0.6614583333333334,0.578125,0.5104166666666666,0.4635416666666667,0.4166666666666667,0.3802083333333333,0.3385416666666667,0.3125,0.3020833333333333,0.2760416666666667,0.22916666666666666,0.20833333333333334,0.19791666666666666,0.171875,0.15104166666666666,0.140625,0.11979166666666667,0.10416666666666667,0.09375,0.08854166666666667,0.078125,0.078125,0.06770833333333333,0.057291666666666664,0.057291666666666664,0.057291666666666664,0.057291666666666664,0.057291666666666664,0.052083333333333336,0.052083333333333336,0.046875,0.046875,0.046875,0.041666666666666664,0.026041666666666668,0.020833333333333332,0.015625,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breast Cancer,0.95,0.9,0.8,0.6,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.35,0.35,0.25,0.15,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cancer of Unknown Primary,0.9736842105263158,0.8157894736842105,0.7105263157894737,0.6052631578947368,0.5263157894736842,0.47368421052631576,0.40789473684210525,0.3157894736842105,0.2631578947368421,0.2236842105263158,0.15789473684210525,0.14473684210526316,0.14473684210526316,0.11842105263157894,0.09210526315789473,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal Cancer,1.0,0.9797979797979798,0.8686868686868687,0.797979797979798,0.7474747474747475,0.6666666666666666,0.6363636363636364,0.5757575757575758,0.5353535353535354,0.45454545454545453,0.3838383838383838,0.3434343434343434,0.30303030303030304,0.2828282828282828,0.2727272727272727,0.23232323232323232,0.2222222222222222,0.18181818181818182,0.1717171717171717,0.15151515151515152,0.1414141414141414,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.12121212121212122,0.1111111111111111,0.09090909090909091,0.050505050505050504,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esophagogastric Cancer,0.967741935483871,0.8494623655913979,0.7526881720430108,0.6666666666666666,0.5376344086021505,0.45161290322580644,0.41935483870967744,0.3763440860215054,0.3225806451612903,0.25806451612903225,0.21505376344086022,0.1935483870967742,0.13978494623655913,0.11827956989247312,0.11827956989247312,0.11827956989247312,0.11827956989247312,0.0967741935483871,0.0967741935483871,0.08602150537634409,0.07526881720430108,0.06451612903225806,0.053763440860215055,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glioma,0.9824561403508771,0.9649122807017544,0.9122807017543859,0.868421052631579,0.8245614035087719,0.7456140350877193,0.7017543859649122,0.6666666666666666,0.5964912280701754,0.5526315789473685,0.5175438596491229,0.5087719298245614,0.45614035087719296,0.38596491228070173,0.34210526315789475,0.2719298245614035,0.21052631578947367,0.17543859649122806,0.15789473684210525,0.14912280701754385,0.13157894736842105,0.09649122807017543,0.07017543859649122,0.05263157894736842,0.05263157894736842,0.043859649122807015,0.043859649122807015,0.043859649122807015,0.043859649122807015,0.03508771929824561,0.03508771929824561,0.02631578947368421,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Head and Neck Cancer,1.0,0.9694656488549618,0.8396946564885496,0.7251908396946565,0.6641221374045801,0.6259541984732825,0.5801526717557252,0.5114503816793893,0.45038167938931295,0.3969465648854962,0.3511450381679389,0.3053435114503817,0.2824427480916031,0.2824427480916031,0.20610687022900764,0.15267175572519084,0.1297709923664122,0.1297709923664122,0.12213740458015267,0.10687022900763359,0.09923664122137404,0.08396946564885496,0.08396946564885496,0.08396946564885496,0.08396946564885496,0.06870229007633588,0.06870229007633588,0.06870229007633588,0.061068702290076333,0.04580152671755725,0.04580152671755725,0.04580152671755725,0.03816793893129771,0.030534351145038167,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melanoma,0.9846153846153847,0.9615384615384616,0.9307692307692308,0.9076923076923077,0.8692307692307693,0.8538461538461538,0.8307692307692308,0.823076923076923,0.7846153846153846,0.7692307692307693,0.7307692307692307,0.6538461538461539,0.6230769230769231,0.5538461538461539,0.49230769230769234,0.43846153846153846,0.38461538461538464,0.3384615384615385,0.3,0.26153846153846155,0.23846153846153847,0.2153846153846154,0.2076923076923077,0.17692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.13846153846153847,0.1076923076923077,0.08461538461538462,0.08461538461538462,0.07692307692307693,0.05384615384615385,0.05384615384615385,0.05384615384615385,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.038461538461538464,0.038461538461538464,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.023076923076923078,0.023076923076923078,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Small Cell Lung Cancer,0.9544072948328267,0.8693009118541033,0.790273556231003,0.7112462006079028,0.6747720364741642,0.6291793313069909,0.5805471124620061,0.547112462006079,0.5227963525835866,0.49240121580547114,0.46504559270516715,0.43465045592705165,0.41033434650455924,0.3586626139817629,0.3252279635258359,0.2948328267477204,0.2735562310030395,0.25835866261398177,0.22796352583586627,0.20972644376899696,0.17933130699088146,0.1580547112462006,0.14285714285714285,0.13069908814589665,0.11246200607902736,0.08814589665653495,0.0790273556231003,0.0729483282674772,0.06382978723404255,0.05167173252279635,0.03951367781155015,0.0364741641337386,0.03343465045592705,0.030395136778115502,0.030395136778115502,0.030395136778115502,0.02735562310030395,0.02735562310030395,0.02735562310030395,0.02735562310030395,0.0243161094224924,0.0243161094224924,0.02127659574468085,0.0182370820668693,0.0182370820668693,0.015197568389057751,0.0121580547112462,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.00911854103343465,0.0060790273556231,0.0060790273556231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renal Cell Carcinoma,0.9918032786885246,0.9672131147540983,0.9672131147540983,0.9344262295081968,0.9098360655737705,0.8852459016393442,0.8688524590163934,0.8442622950819673,0.8360655737704918,0.8032786885245902,0.7950819672131147,0.7540983606557377,0.7377049180327869,0.7131147540983607,0.6885245901639344,0.6885245901639344,0.6557377049180327,0.6311475409836066,0.5983606557377049,0.5655737704918032,0.5245901639344263,0.47540983606557374,0.4426229508196721,0.38524590163934425,0.29508196721311475,0.27049180327868855,0.2540983606557377,0.2459016393442623,0.2459016393442623,0.22950819672131148,0.21311475409836064,0.21311475409836064,0.21311475409836064,0.20491803278688525,0.20491803278688525,0.20491803278688525,0.1885245901639344,0.18032786885245902,0.14754098360655737,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.09836065573770492,0.09016393442622951,0.07377049180327869,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.04918032786885246,0.040983606557377046,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.02459016393442623,0.02459016393442623,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541
"Skin Cancer, Non-Melanoma",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
